"nom","codi","ptgcand","codicand","pob","partit","id","eleccio","bcap","bcomu","junts","cs","cup","erc","pp","psc","abbr"
"Ciutat Vella                                      ","81901",27.52,1003464,102138,"bcomu","01","Municipals 2019",2.94,27.52,7.47,10.75,4.44,20.71,3.7,18.49,"Ciutat Vella                                      "
"Eixample                                          ","81902",22.82,1003120,266754,"erc","02","Municipals 2019",4.99,19.95,13.54,12.21,4.07,22.82,4.55,15,"Eixample                                          "
"Gràcia                                            ","81906",23.83,1003464,121593,"bcomu","06","Municipals 2019",5.72,23.83,13.01,8.93,6.16,23.76,3.36,12.81,"Gràcia                                            "
"Horta-Guinardó                                    ","81907",22.22,1003464,170249,"bcomu","07","Municipals 2019",3.2,22.22,8.59,11.28,4.48,21.39,4.92,20.73,"Horta"
"Les Corts                                         ","81904",21.2,1003120,82182,"erc","04","Municipals 2019",4.63,13.06,14.76,18.53,2.7,21.2,6.59,15.62,"Les Corts                                         "
"Nou Barris                                        ","81908",28.03,1015937,168327,"psc","08","Municipals 2019",1.43,22.91,4.55,13.33,2.6,15.97,6.72,28.03,"Nou Barris                                        "
"Sant Andreu                                       ","81909",23.17,1003464,148560,"bcomu","09","Municipals 2019",2.78,23.17,7.67,11.32,3.81,22.58,4.75,20.74,"Sant Andreu                                       "
"Sant Martí                                        ","819010",22.76,1003464,237112,"bcomu","10","Municipals 2019",3.02,22.76,7.61,11.79,3.8,22.38,4.68,20.68,"Sant Martí                                        "
"Sants-Montjuïc                                    ","81903",23.37,1003464,182184,"bcomu","03","Municipals 2019",3.35,23.37,8.68,10.47,4.51,23.08,4.46,19.01,"Sants"
"Sarrià-Sant Gervasi                               ","81905",24.42,1003126,149837,"cs","05","Municipals 2019",4.79,10.16,17.6,24.42,2.35,17.59,6.44,13.13,"Sarrià"
